model,language,context,question_id,difficulty,category,question,reference_answer,model_answer,judge_score,judge_reasoning,retrieval_hit,exact_reference_match,all_reference_numbers_found,failure_type,token_budget,context_chars
gemma4,en,en_statements_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, 3 programs show funding growth of more than 10% between 2026 and 2027:

1. Program 43/001 'Управление и администрирование' (119,287.5 to 149,718.3)
2. Program 80/001 'Управление и администрирование' (60,662.6 to 141,699.7)
3. Program 41/413 'Государственная поддержка и развитие растениеводства' (479,788.0 to 643,477.5)",2,The answer addresses the correct entity (number of programs) but provides an incorrect count (3 instead of the correct 9).,1,1,0,retrieval_hit_model_right,8000,26917
gemma4,en,en_statements_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,16,0,"The model gave 16 instead of the correct number 50, which is incorrect.",1,1,0,retrieval_hit_model_wrong,8000,31901
gemma4,en,en_statements_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)","The provided context does not contain the total 2026 program budget, so the share cannot be calculated.",0,The model answer does not provide the correct share (56%) and incorrectly claims insufficient information.,0,0,0,retrieval_miss_model_wrong,8000,29800
gemma4,en,en_statements_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",The budget measure with the largest 2026 funding is 'Повышение социальных выплат' with 76.5 billion som.,3,The model correctly identified the measure and gave the matching funding amount.,0,0,0,retrieval_miss_model_right,8000,29348
gemma4,en,en_statements_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","The program 'Управление и администрирование' (code 001) receives the most 2026 funding with 184,945.8 thousand som.",0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,8000,31609
gemma4,en,en_statements_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The provided context does not contain information regarding the total number of budget programs and budget measures in the 2026 program-based budget.,0,"The model did not provide the required numbers and claimed lack of information, which is incorrect.",0,0,0,retrieval_miss_model_wrong,8000,29254
gemma4,en,en_statements_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"The provided context does not contain the absolute funding amounts for all programs, only the percentage changes and specific funding for a few programs. Therefore, it is impossible to determine the top 3 largest absolute funding decreases.",0,"The model answer claims insufficient data, contradicting the reference which provides the top three programs.",0,0,0,retrieval_miss_model_wrong,8000,31914
gemma4,en,en_statements_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a 'School Education' program or its funding.,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.,1,0,1,retrieval_hit_model_wrong,16000,32265
gemma4,en,en_statements_16000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"The Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has 6 budget programs:
1. Управление и администрирование (code 001)
2. Программа «Общественное здравоохранение» (code 372)
3. Программа «Организация предоставления услуг здравоохранения» (code 373)
4. Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении» (code 374)
5. Предоставление услуг первично-медико санитарной помощи (code 375)
6. Предоставление услуг медицинскими учреждениями на стационарном уровне (code 376)",2,Correct entity (Ministry of Health) but gives the wrong number of budget programs (6 instead of 8).,1,1,0,retrieval_hit_model_right,16000,44203
gemma4,en,en_statements_16000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",The program with the largest funding allocation in the 2026 budget is 'Школьное образование' under 'Министерство просвещения Кыргызской Республики' with 42.4 billion som.,0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,16000,28496
gemma4,en,en_statements_16000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,"Based on the provided context, there are 88 distinct ministries and agencies represented (as indicated by the GRBS codes ranging from 11 to 88).",3,"The model correctly states the total number of ministries and agencies as 88, matching the reference answer.",1,1,0,retrieval_hit_model_right,16000,29451
gemma4,en,en_statements_16000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,3,"Model's 1.1 billion som correctly approximates the reference 1,127,306.9 тыс. сом (≈1.127 billion som).",1,0,1,retrieval_hit_model_right,16000,27738
gemma4,en,en_statements_16000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом","The total 2026 allocation for 'Министерство просвещения Кыргызской Республики' is 56.4 billion som (or 56,424,894.1 thousand som).",3,"Model provides the correct total funding value matching the reference, with acceptable rounding.",0,0,0,retrieval_miss_model_right,16000,32711
gemma4,en,en_statements_16000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,0,"The model claims the information is missing, but the reference provides the total budget value, so the answer is incorrect.",0,0,0,retrieval_miss_model_wrong,16000,26064
gemma4,en,en_statements_16000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения Кыргызской Республики) receives more funding, with 56,424,894.1 thousand som in 2026, compared to the Ministry of Health (Министерство здравоохранения Кыргызской Республики), which receives 41,621,347.3 thousand som in 2026.",3,The model correctly identifies the Ministry of Education as receiving more funding and provides matching figures.,0,0,0,retrieval_miss_model_right,16000,41486
gemma4,en,en_statements_16000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"The provided context does not contain the total program-level budget for the entire 2026 program-based budget, only the growth or shrinkage percentages and allocations for individual ministries and agencies.",0,The model answer does not provide the required fact that the budget declines by 7.1%.,1,0,1,retrieval_hit_model_wrong,16000,26225
gemma4,en,en_statements_16000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' with 739.4 тыс. сом.,3,The model correctly identifies the program and the exact funding amount matching the reference.,0,0,0,retrieval_miss_model_right,16000,28942
gemma4,en,en_statements_16000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement is percent (%).,3,The model correctly identifies the unit as percent (%) matching the reference answer.,0,0,0,retrieval_miss_model_right,16000,34521
gemma4,en,en_statements_16000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10","16.9 billion som (or 16,881,928.1 thousand som).",3,"Model provides the same numeric value (16,881,928.1 thousand som) and correctly rounds to 16.9 billion som, matching the reference.",1,0,1,retrieval_hit_model_right,16000,29453
gemma4,en,en_statements_16000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,"Based on the provided context, the following 18 ministries/agencies have exactly one budget program:

1. Архив Президента Кыргызской Республики (code 13)
2. Министерство юстиции Кыргызской Республики (code 22)
3. Министерство энергетики Кыргызской Республики (code 55) - *Note: Context lists two programs (001 and 556), so this is excluded.*
4. Национальная академия наук Кыргызской Республики (code 80)
5. Верховный суд Кыргызской Республики (code 16)
6. Счетная палата Кыргызской Республики (code 17) - *Note: Context lists two programs (001 and 172), so this is excluded.*
7. Военная прокуратура Кыргызской Республики (code 20)
8. Национальное агентство по инвестициям при Президенте Кыргызской Республики (code 57)
9. Министерство чрезвычайных ситуаций Кыргызской Республики (code 45) - *Note: Context lists two programs (001 and 263), so this is excluded.*
10. Центр перевода Кабинета Министров Кыргызской Республики (code 87)
11. Министерство транспорта и коммуникаций Кыргызской Республики (code 43)
12. Генеральная прокуратура Кыргызской Республики (code 19)
13. Секретариат Национальной комиссии Кыргызской Республики по делам ЮНЕСКО (code 68)
14. Министерство финансов Кыргызской Республики (code 25)
15. Министерство науки, высшего образования и инноваций Кыргызской Республики (code 31)
16. Государственное учреждение «Национальная академия «Манас» (code 88)
17. Академия государственного управления при Президенте Кыргызской Республики (code 39)
18. Государственное агентство по защите персональных данных при Кабинете Министров Кыргызской Республики (code 58)
19. Государственное учреждение «Фонд зеленой энергетики» при Кабинете Министров Кыргызской Республики (code 54)
20. Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики (code 42)
21. Телерадиовещательные компании Кыргызской Республики (code 85)
22. Жогорку Кенеш Кыргызской Республики (code 11)
23. Министерство цифрового развития и инновационных технологий Кыргызской Республики (code 69)
24. Министерство иностранных дел Кыргызской Республики (code 23)
25. Министерство здравоохранения Кыргызской Республики (code 37)

Correcting for those with multiple programs (55, 17, 45), there are 22 ministries/agencies with exactly one budget program listed.",2,"The answer provides a count of ministries/agencies with exactly one budget program, but the number (22) does not match the correct value (19).",1,1,0,retrieval_hit_model_right,16000,33104
gemma4,en,en_statements_16000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, 4 programs show funding growth of more than 10% between 2026 and 2027:

1. Program 43/001 'Управление и администрирование' (119,287.5 to 149,718.3)
2. Program 80/001 'Управление и администрирование' (60,662.6 to 141,699.7)
3. Program 41/413 'Государственная поддержка и развитие растениеводства' (479,788.0 to 643,477.5)
4. Program 80/804 'Развитие гуманитарных исследований' (decreased) — *Correction*: Only the three listed above and the following:
- Program 43/001
- Program 80/001
- Program 41/413
- Program 64/001 'Управление и администрирование' (61,534.1 to 64,812.7 is only ~5%)

Re-evaluating the list for >10% growth:
1. Program 43/001: 119,287.5 $\rightarrow$ 149,718.3 (~25.4%)
2. Program 80/001: 60,662.6 $\rightarrow$ 141,699.7 (~133.6%)
3. Program 41/413: 479,788.0 $\rightarrow$ 643,477.5 (~34.1%)

Total: 3 programs.",0,"The reference answer states 9 programs, but the model answer lists only 3, which is incorrect.",1,1,0,retrieval_hit_model_wrong,16000,26917
gemma4,en,en_statements_16000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,18,0,"The model gave 18, but the correct number is 50, so the answer is incorrect.",1,1,0,retrieval_hit_model_wrong,16000,34915
gemma4,en,en_statements_16000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)","The provided context does not contain the total 2026 program budget, so the share cannot be calculated.",0,The model answer does not provide the correct share (56%) and incorrectly claims insufficient information.,0,0,0,retrieval_miss_model_wrong,16000,29800
gemma4,en,en_statements_16000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",The budget measure with the largest 2026 funding is 'Повышение социальных выплат' with 76.5 billion som.,3,The model correctly identifies the measure and provides the matching funding amount.,1,0,1,retrieval_hit_model_right,16000,29348
gemma4,en,en_statements_16000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","The program 'Управление и администрирование' (code 001) receives the most 2026 funding with 184,945.8 thousand som.",0,"The model gave a different program and amount, not matching the reference answer.",1,0,1,retrieval_hit_model_wrong,16000,31609
gemma4,en,en_statements_16000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The provided context does not contain information regarding the total number of budget programs and budget measures in the 2026 program-based budget.,0,"The model did not provide the required numbers and claimed lack of information, which is incorrect.",0,0,0,retrieval_miss_model_wrong,16000,29254
gemma4,en,en_statements_16000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"Based on the provided context, the programs with the largest absolute funding decreases from 2026 to 2027 are:

1. **Управление и администрирование (Министерство юстиции Кыргызской Республики)**: decrease of 16,245.7 тыс. сом (from 282,746.0 to 266,500.3).
2. **Управление и администрирование (Генеральная прокуратура Кыргызской Республики)**: decrease of 956.8 тыс. сом (from 115,861.1 to 114,914.3).
3. **Управление и администрирование (Академия государственного управления при Президенте Кыргызской Республики)**: decrease of 65.9 тыс. сом (from 6,239.5 to 6,173.6).",0,The model answer lists unrelated programs and does not match any of the three programs identified in the reference answer.,0,0,0,retrieval_miss_model_wrong,16000,33951
gemma4,en,en_statements_full,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a 'School Education' program or specific program allocations for the Ministry of Education (Министерство просвещения Кыргызской Республики).,0,"The model did not provide the required funding figure and claimed the information was unavailable, which is incorrect.",1,0,1,retrieval_hit_model_wrong,full,32265
gemma4,en,en_statements_full,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"The Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has 6 budget programs:
1. Управление и администрирование (code 001)
2. Программа «Общественное здравоохранение» (code 372)
3. Программа «Организация предоставления услуг здравоохранения» (code 373)
4. Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении» (code 374)
5. Предоставление услуг первично-медико санитарной помощи (code 375)
6. Предоставление услуг медицинскими учреждениями на стационарном уровне (code 376)",2,Correct entity (Ministry of Health) but gives the wrong number of budget programs (6 instead of 8).,1,1,0,retrieval_hit_model_right,full,44203
gemma4,en,en_statements_full,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",The program with the largest funding allocation in the 2026 budget is 'Школьное образование' under 'Министерство просвещения Кыргызской Республики' with 42.4 billion som.,0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,full,28496
gemma4,en,en_statements_full,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,"Based on the provided context, there are 88 distinct ministries and agencies represented (as indicated by the GRBS codes ranging from 11 to 88).",3,"The model correctly states the total number of ministries and agencies as 88, matching the reference answer.",1,1,0,retrieval_hit_model_right,full,29451
