language,context,question_id,difficulty,category,question,reference_answer,contains_reference_answer,exact_reference_match,all_reference_numbers_found,reference_numbers,found_reference_numbers,substantive_reference_numbers,token_budget,context_chars
en,en_statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,2000,7889
en,en_statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",1,0,1,42380106.4,42380106.4,42380106.4,8000,31714
en,en_statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,1,1,0,8,8,,8000,31859
en,en_statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,8000,31877
en,en_statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,1,1,0,88,88,,8000,31895
en,en_statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1,0,1,1127306.9,1127306.9,1127306.9,8000,31967
en,en_statements_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,8000,31921
en,en_statements_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,8000,31982
en,en_statements_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,8000,31946
en,en_statements_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,1,0,1,7.1,7.1,7.1,8000,31828
en,en_statements_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,8000,31990
en,en_statements_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),0,0,0,,,,8000,29672
en,en_statements_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,8000,31820
en,en_statements_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,1,1,0,19,19,,8000,31982
en,en_statements_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,1,1,0,9,9,,8000,31918
en,en_statements_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,1,1,0,50,50,,8000,27858
en,en_statements_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,8000,31899
en,en_statements_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",0,0,0,76517019.4,,76517019.4,8000,31982
en,en_statements_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",0,0,0,4522247.8,,4522247.8,8000,31830
en,en_statements_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,0,0,0,168|342,168,168|342,8000,31769
en,en_statements_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,8000,31938
en,en_statements_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",1,0,1,42380106.4,42380106.4,42380106.4,16000,49795
en,en_statements_16000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,1,1,0,8,8,,16000,56026
en,en_statements_16000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,16000,52827
en,en_statements_16000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,1,1,0,88,88,,16000,43767
en,en_statements_16000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1,0,1,1127306.9,1127306.9,1127306.9,16000,43273
en,en_statements_16000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,16000,43781
en,en_statements_16000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,16000,48020
en,en_statements_16000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,16000,44863
en,en_statements_16000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,1,0,1,7.1,7.1,7.1,16000,47765
en,en_statements_16000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,16000,59664
en,en_statements_16000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),0,0,0,,,,16000,29672
en,en_statements_16000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,16000,43960
en,en_statements_16000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,1,1,0,19,19,,16000,57114
en,en_statements_16000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,1,1,0,9,9,,16000,50071
en,en_statements_16000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,1,1,0,50,50,,16000,27858
en,en_statements_16000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,16000,47618
en,en_statements_16000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",1,0,1,76517019.4,76517019.4,76517019.4,16000,57114
en,en_statements_16000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,16000,49922
en,en_statements_16000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,0,0,0,168|342,168,168|342,16000,53851
en,en_statements_16000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,16000,49671
en,en_statements_full,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",1,0,1,42380106.4,42380106.4,42380106.4,full,49795
en,en_statements_full,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,1,1,0,8,8,,full,56026
en,en_statements_full,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,full,52827
en,en_statements_full,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,1,1,0,88,88,,full,43767
en,en_statements_full,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1,0,1,1127306.9,1127306.9,1127306.9,full,43273
en,en_statements_full,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,full,43781
en,en_statements_full,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,full,48020
en,en_statements_full,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,full,44863
en,en_statements_full,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,1,0,1,7.1,7.1,7.1,full,47765
en,en_statements_full,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,full,59664
en,en_statements_full,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),0,0,0,,,,full,29672
en,en_statements_full,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,full,43960
en,en_statements_full,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,1,1,0,19,19,,full,57114
en,en_statements_full,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,1,1,0,9,9,,full,50071
en,en_statements_full,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,1,1,0,50,50,,full,27858
en,en_statements_full,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,full,47618
en,en_statements_full,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",1,0,1,76517019.4,76517019.4,76517019.4,full,57114
en,en_statements_full,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,full,49922
en,en_statements_full,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,0,0,0,168|342,168,168|342,full,53851
en,en_statements_full,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,full,49671
ru,ru_statements_2000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",1,1,1,42380106.4,42380106.4,42380106.4,2000,7835
ru,ru_statements_2000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,1,1,0,8,8,,2000,7771
ru,ru_statements_2000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,2000,7941
ru,ru_statements_2000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,88,0,0,0,88,,,2000,7673
ru,ru_statements_2000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом",1,1,1,1127306.9,1127306.9,1127306.9,2000,7715
ru,ru_statements_2000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,2000,7980
ru,ru_statements_2000tok,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,2000,7746
ru,ru_statements_2000tok,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,,56424894.11|41621347.3,2000,7867
ru,ru_statements_2000tok,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,0,0,0,7.1,,7.1,2000,7854
ru,ru_statements_2000tok,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,2000,7856
ru,ru_statements_2000tok,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),0,0,0,,,,2000,7823
ru,ru_statements_2000tok,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,2000,7981
ru,ru_statements_2000tok,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,19,0,0,0,19,,,2000,7963
ru,ru_statements_2000tok,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,0,0,0,9,9,,2000,7822
ru,ru_statements_2000tok,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",50,0,0,0,50,,,2000,7778
ru,ru_statements_2000tok,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,2000,7774
ru,ru_statements_2000tok,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4",0,0,0,76517019.4,,76517019.4,2000,7726
ru,ru_statements_2000tok,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,2000,7855
ru,ru_statements_2000tok,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 programs and 342 measures,0,0,0,168|342,,168|342,2000,7914
ru,ru_statements_2000tok,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,2000,7889
ru,ru_statements_8000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",1,1,1,42380106.4,42380106.4,42380106.4,8000,31868
ru,ru_statements_8000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,1,1,0,8,8,,8000,31430
ru,ru_statements_8000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,8000,31835
ru,ru_statements_8000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,88,1,1,0,88,88,,8000,31648
ru,ru_statements_8000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом",1,1,1,1127306.9,1127306.9,1127306.9,8000,31906
ru,ru_statements_8000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,8000,31844
ru,ru_statements_8000tok,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,8000,31813
ru,ru_statements_8000tok,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,8000,31910
ru,ru_statements_8000tok,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,1,0,1,7.1,7.1,7.1,8000,31956
ru,ru_statements_8000tok,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,8000,31968
ru,ru_statements_8000tok,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),0,0,0,,,,8000,31916
ru,ru_statements_8000tok,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,8000,31792
ru,ru_statements_8000tok,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,19,1,1,0,19,19,,8000,31901
ru,ru_statements_8000tok,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,1,1,0,9,9,,8000,31960
ru,ru_statements_8000tok,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",50,1,1,0,50,50,,8000,31912
ru,ru_statements_8000tok,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,8000,31949
ru,ru_statements_8000tok,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4",0,0,0,76517019.4,,76517019.4,8000,31878
ru,ru_statements_8000tok,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,8000,31664
ru,ru_statements_8000tok,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 programs and 342 measures,1,0,1,168|342,168|342,168|342,8000,31936
ru,ru_statements_8000tok,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,8000,31705
ru,ru_statements_16000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",1,1,1,42380106.4,42380106.4,42380106.4,16000,54047
ru,ru_statements_16000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,1,1,0,8,8,,16000,57534
ru,ru_statements_16000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",1,0,1,164663857.2,164663857.2,164663857.2,16000,56440
ru,ru_statements_16000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,88,1,1,0,88,88,,16000,59687
ru,ru_statements_16000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом",1,1,1,1127306.9,1127306.9,1127306.9,16000,53514
ru,ru_statements_16000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,16000,54182
ru,ru_statements_16000tok,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,16000,56434
ru,ru_statements_16000tok,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,41621347.3,56424894.11|41621347.3,16000,56557
ru,ru_statements_16000tok,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,1,0,1,7.1,7.1,7.1,16000,48893
ru,ru_statements_16000tok,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,16000,60801
ru,ru_statements_16000tok,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),0,0,0,,,,16000,36935
ru,ru_statements_16000tok,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,16000,55064
ru,ru_statements_16000tok,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,19,1,1,0,19,19,,16000,47252
ru,ru_statements_16000tok,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,1,1,0,9,9,,16000,63957
ru,ru_statements_16000tok,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",50,1,1,0,50,50,,16000,39840
ru,ru_statements_16000tok,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,56,332149236.2|593028014.9,16000,55759
ru,ru_statements_16000tok,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4",1,0,1,76517019.4,76517019.4,76517019.4,16000,63744
ru,ru_statements_16000tok,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",1,0,1,4522247.8,4522247.8,4522247.8,16000,59748
ru,ru_statements_16000tok,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 programs and 342 measures,1,0,1,168|342,168|342,168|342,16000,49115
ru,ru_statements_16000tok,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),0,0,0,1|2|3,1|2|3,,16000,63729
ru,ru_statements_full,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",1,1,1,42380106.4,42380106.4,42380106.4,full,54047
ru,ru_statements_full,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,1,1,0,8,8,,full,57534
