model,language,context,question_id,difficulty,category,question,question_en,question_ru,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
gemma4,en,en_markdown_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,Which budget measure (not program) has the largest 2026 funding?,,"Повышение социальных выплат - 76,517,019.4",Регистрация населения и актов гражданского состояния (2385292.1 тыс.сом),2000,7938,0,"The model gave a different budget measure and amount, not the one identified in the reference answer."
gemma4,en,en_markdown_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the Ministry of Emergency Situations.,2000,7938,0,"The model answer does not provide the required program and funding, instead claims lack of information, which is incorrect."
gemma4,en,en_markdown_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,How many total budget programs and budget measures are in the 2026 program-based budget?,,168 программ и 393 мер,"Total budget programs: 12
Total budget measures: 28",2000,7938,0,"The model gave 12 programs and 28 measures, which do not match the correct numbers of 168 programs and 393 measures."
gemma4,en,en_markdown_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)","1. Обеспечение и координация деятельности по реализации единой (Управление делами Президента Кыргызской): decrease of 265,953.9 тыс.сом
2. No other programs show a funding decrease from 2026 to 2027.",2000,7938,0,The model answer lists a different program and fails to provide the three programs identified in the reference answer.
gemma4,en,en_structured_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом",The provided context does not contain information regarding the Ministry of Education or a 'School Education' program.,2000,7981,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
gemma4,en,en_structured_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,The provided context does not contain information regarding the Ministry of Health.,2000,2631,0,"The model did not provide the correct number (8) and claimed no information was available, which is incorrect."
gemma4,en,en_structured_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Предоставление услуг медицинскими учреждениями на (program 376) — 15,638,295.2",2000,7981,0,"The model gave a different program and amount, not the largest funding allocation identified in the reference."
gemma4,en,en_structured_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,15,2000,7883,0,The model answer of 15 does not match the correct total of 60 ministries and agencies.
gemma4,en,en_structured_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом",The provided context does not contain information regarding the funding for the Jogorku Kenesh (parliament).,2000,7981,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
gemma4,en,en_structured_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом",The provided context does not contain information regarding the Ministry of Education.,2000,7981,0,"The model answer does not provide the required funding figure and states lack of information, which is incorrect."
gemma4,en,en_structured_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","321,933.8 (Ministry of Health, 001)
2,170,534.1 (Ministry of Health, 372)
6,305,318.8 (Ministry of Health, 373)
962,011.6 (Ministry of Health, 374)
11,104,430.6 (Ministry of Health, 375)
15,638,295.2 (Ministry of Health, 376)
2,530,800.0 (Ministry of Health, 377)
43,252.2 (State Agency for Personal Data Protection, 001)
16,853.2 (State Agency for Personal Data Protection, 582)
Total: 39,093,429.5",2000,7981,0,"The answer gives a total of 39,093,429.5, which does not match the reference total of approximately 593.0 billion som."
gemma4,en,en_structured_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,Which ministry receives more funding: Ministry of Health or Ministry of Education?,,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","The provided context contains information for the Ministry of Science and Higher Education (Министерство науки, высшего образования), but it does not contain information for the Ministry of Health or a general Ministry of Education. Therefore, there is not enough information to answer the question.",2000,2631,0,"The model claims insufficient information, but the reference clearly states that the Ministry of Education receives more funding than the Ministry of Health."
gemma4,en,en_structured_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?","Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",,declines by 7.1%,"The context does not provide the total program-level budget for 2026 and 2027, only individual program and measure values.",2000,7981,0,The model answer does not provide the required fact that the budget declines by 7.1%.
gemma4,en,en_structured_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,Which program has the smallest non-zero funding in 2026?,,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"Реализация программ дополнительного образования гр (16,853.2)",2000,7981,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_structured_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,,Процент (%),The most commonly used unit of measurement is ед. (used 13 times).,2000,7902,0,"The model gave an incorrect unit (ед.) instead of the correct answer, percent (%)."
gemma4,en,en_structured_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,What is the total 2026 program funding for the Ministry of Transport and Communications?,,"16,881,928.10 тыс. сом",The provided context does not contain information regarding the Ministry of Transport and Communications.,2000,7981,0,"The model answer fails to provide the required funding figure, stating no information is available."
gemma4,en,en_structured_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,How many ministries/agencies have exactly one budget program?,,22,6,2000,7883,0,"The model answer gives 6, which does not match the correct value of 22."
gemma4,en,en_structured_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,How many programs show funding growth of more than 10% between 2026 and 2027?,,9,"1 program (Ministry of Justice, program 222: 176,690.6 to 199,769.7)",2000,7883,1,The answer mentions a program with growth but gives the wrong count (1 instead of the correct 9).
gemma4,en,en_structured_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,How many rows in the budget have a performance indicator measured in people (чел.)?,,57,3,2000,7902,2,Model provided a numeric answer (the correct entity) but the number 3 is incorrect; the correct count is 57.
gemma4,en,en_structured_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain information regarding the Ministry of Finance (General State Expenditures).,2000,7981,0,"The model answer does not provide the correct share (56%) and claims the information is missing, which is incorrect."
gemma4,en,en_structured_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,Which budget measure (not program) has the largest 2026 funding?,,"Повышение социальных выплат - 76,517,019.4","Обеспечение доступности медицинских услуг населени (12,986,410.8)",2000,7981,0,"The model gave a different budget measure and amount, not the one identified as having the largest 2026 funding in the reference."
gemma4,en,en_structured_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the Ministry of Emergency Situations.,2000,7981,0,"The model answer does not provide the required program and funding, instead claims lack of information, which is incorrect."
gemma4,en,en_structured_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,How many total budget programs and budget measures are in the 2026 program-based budget?,,168 программ и 393 мер,"To determine the total number of budget programs and budget measures, I will filter the ""level"" column:

**Programs:**
1. Жогорку Кенеш (001)
2. Жогорку Кенеш (113)
3. Администрация Президента (122)
4. Архив Президента (001)
5. Фонды Президента и Кабинета Министров (142)
6. Управление делами Президента (152)
7. Управление делами Президента (153)
8. Управление делами Президента (154)
9. Управление делами Президента (155)
10. Верховный суд (001)
11. Верховный суд (162)
12. Верховный суд (166)
**Total Programs: 12**

**Measures:**
1. Жогорку Кенеш (01 - Управление и администрирование...)
2. Жогорку Кенеш (01 - Законодательное обеспечение...)
3. Администрация Президента (01 - Экспертно-аналитическое...)
4. Администрация Президента (Обеспечение деятельности...)
5. Администрация Президента (04 - Координация и принятие...)
6. Архив Президента (01 - Управление и администрирование...)
7. Фонды Президента (01 - Оказание государственной поддержки...)
8. Фонды Президента (02 - Оказание государственной поддержки...)
9. Управление делами Президента (01 - Обеспечение деятельности...)
10. Управление делами Президента (03 - Программное и техническое...)
11. Управление делами Президента (04 - Обеспчение и организация...)
12. Управление делами Президента (05 - Транспортное обеспечение...)
13. Управление делами Президента (06 - Обеспечение организация...)
14. Управление делами Президента (07 - Обеспечение деятельности...)
15. Управление делами Президента (08 - Обеспечение высокого уровня...)
16. Управление делами Президента (09 - Предоставление транспортных...)
17. Управление делами Президента (12 - Обслуживание официальных...)
18. Управление делами Президента (03 - Поддержка инициатив...)
19. Управление делами Президента (04 - Восстановление здоровья...)
20. Управление делами Президента (05 - Формирование инновационной...)
21. Управление делами Президента (07 - Обеспечение деятельности...)
22. Управление делами Президента (01 - Поддержание существующей...)
23. Управление делами Президента (01 - Повышение качества...)
24. Управление делами Президента (02 - Регистрация населения...)
25. Управление делами Президента (03 - Разработка и сопровождение...)
26. Верховный суд (01 - Управление и администрирование...)
27. Верховный суд (02 - Управление и администрирование...)
28. Верховный суд (01 - Осуществление правосудия...)
29. Верховный суд (01 - Укрепление кадрового потенциала...)
**Total Measures: 29**

Total budget programs: 12
Total budget measures: 29",2000,7902,0,"The model gave 12 programs and 29 measures, which does not match the correct figures of 168 programs and 393 measures."
gemma4,en,en_structured_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)","To identify the programs with the largest absolute funding decrease from 2026 to 2027, we calculate the difference (funding_2027 - funding_2026) for all programs:

1. **Управление делами Президента Кыргызской Республики (Program 152):** 2,571,414.9 - 2,837,368.8 = **-265,953.9**
2. **Жогорку Кенеш Кыргызской Республики (Program 001):** 1,069,070.0 - 1,047,143.9 = +21,926.1
3. **Жогорку Кенеш Кыргызской Республики (Program 113):** 80,163.0 - 80,163.0 = 0
4. **Администрация Президента Кыргызской Респ (Program 122):** 683,113.6 - 669,719.2 = +13,394.4
5. **Архив Президента Кыргызской Республики (Program 001):** 18,447.9 - 18,086.2 = +361.7
6. **Фонды Президента и Кабинета Министров Кы (Program 142):** 2,030,000.0 - 2,030,000.0 = 0
7. **Управление делами Президента Кыргызской Республики (Program 153):** 819,431.4 - 805,338.5 = +14,092.9
8. **Управление делами Президента Кыргызской Республики (Program 154):** 119,819.9 - 116,882.7 = +2,937.2
9. **Управление делами Президента Кыргызской Республики (Program 155):** 3,303,809.0 - 3,297,739.7 = +6,069.3
10. **Верховный суд Кыргызской Республики (Program 001):** 409,477.6 - 406,745.3 = +2,732.3
11. **Верховный суд Кыргызской Республики (Program 162):** 296,718.9 - 290,900.9 = +5,818.0
12. **Верховный суд Кыргызской Республики (Program 166):** 3,664.5 - 3,392.5 = +272.0

Only one program showed a decrease.

**Top 1:** Обеспечение и координация деятельности по реализац (Program 152, Управление делами Президента Кыргызской Республики): -265,953.9",2000,7902,0,The model answer lists unrelated programs and does not match any of the top three decreases from the reference answer.
gemma4,en,en_statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом","42,380,106.4 thousand som",8000,31713,3,"The model provides the exact same numeric value and unit, correctly matching the reference answer."
gemma4,en,en_statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,"The provided context does not state the total number of budget programs for the Ministry of Health (Министерство здравоохранения Кыргызской Республики), only specific budget measures under two programs: ""Управление и администрирование"" and ""Программа «Организация предоставления услуг здравоохранения»"".",8000,31999,0,"The model answer says the information is not provided, whereas the correct answer is 8, so it is incorrect."
gemma4,en,en_statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is 'Управление и администрирование' under the ministry 'Министерство финансов Кыргызской Республики' (code 25), with 2,077,532.3 thousand som.",8000,31689,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,88,8000,31867,0,"The model gave 88, but the correct total is 60, so the answer is incorrect."
gemma4,en,en_statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом","1,127,306.9 thousand som",8000,31750,3,The model provides the exact same numeric value and unit (thousand som) as the reference answer.
