model,language,context,question_id,difficulty,category,question,question_en,question_ru,reference_answer,model_answer,raw_model_answer,token_budget,context_chars,judge_score,judge_reasoning
mistral-medium-3.5,ru,ru_statements_8000tok,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,22,В контексте нет информации о количестве бюджетных программ для каждого министерства/ведомства.,,8000,31914,0,"The model did not provide the required number (22) and claimed no information, which is incorrect."
mistral-medium-3.5,ru,ru_statements_8000tok,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,1,,8000,31777,0,"The model answered 1, but the correct number is 9, so the answer is incorrect."
mistral-medium-3.5,ru,ru_statements_8000tok,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",57,13,,8000,31957,2,The model identified the correct concept (count of budget lines) but gave an incorrect number (13 vs. 57).
mistral-medium-3.5,ru,ru_statements_8000tok,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of 593,028,014.9)","Итого по ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» на 2026 год: **332,149,236.1 тыс. сом**.

Общий бюджет программ ведомства на 2026 год:
- «Общегосударственные программы» (263): **164,663,857.2 тыс. сом**
- «Государственные программы, мероприятия и выплаты» (264): **118,757,161.3 тыс. сом**
- «Пенсионное обеспечение и компенсации» (262): **46,670,347.3 тыс. сом**
- «Трансферты Фонду ОМС при ПКР» (265): **2,057,870.4 тыс. сом**

**Итого по программам ведомства (26):** 164,663,857.2 + 118,757,161.3 + 46,670,347.3 + 2,057,870.4 = **332,149,236.2 тыс. сом**.

Доля: **(332,149,236.1 / 332,149,236.2) × 100% ≈ 100%**.",,8000,31913,1,Model provided the correct Ministry of Finance amount but incorrectly calculated the share as ~100% instead of the correct 56%.
mistral-medium-3.5,ru,ru_statements_8000tok,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4","ОАО «Государственный финансовый холдинг» (код меры 93) — 3,500,000 тыс. сом.",,8000,31974,0,"The model gave a different measure and amount, not matching the reference answer."
mistral-medium-3.5,ru,ru_statements_8000tok,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","Управление материальными ценностями государственного и мобилизационного резерва (код программы 455) — 4,522,247.8 тыс. сом.",,8000,31780,3,"The model provides the exact program name and funding amount matching the reference, with only harmless additional detail."
mistral-medium-3.5,ru,ru_statements_8000tok,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,156 программ и 393 мер,В контексте не указано общее количество бюджетных программ и бюджетных мер в бюджете 2026 года.,,8000,31881,0,"The model says the information is not provided, which is incorrect compared to the reference answer."
mistral-medium-3.5,ru,ru_statements_8000tok,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"1. «Администрирование государственных доходов» (код программы 254) — сокращение на **1,135,042.7 тыс. сом** (10,614,609.5 → 9,479,566.8).
2. «Финансирование проектов экономического развития и накопленные финансовые резервы» (код меры 19) — сокращение на **6,583,943.5 тыс. сом** (24,355,498 → 30,932,052.5) *Ошибка: на самом деле это увеличение, а не сокращение*.
   **Корректировка:**
   2. «Налоговое администрирование на центральном уровне» (код меры 01) — сокращение на **898,704.3 тыс. сом** (1,831,785.7 → 933,081.4).
3. «Реализация проектов государственных инвестиций» (код меры 01, программа 255) — сокращение на **95,921.7 тыс. сом** (2,418,048.5 → 2,322,126.8).

**Итоговый топ-3:**
1. Администрирование государственных доходов (254) — **1,135,042.7 тыс. сом**
2. Налоговое администрирование на центральном уровне (01) — **898,704.3 тыс. сом**
3. Реализация проектов государственных инвестиций (01, 255) — **95,921.7 тыс. сом**",,8000,31974,1,"Only one of the three programs matches the reference; the other two are incorrect, so the answer is largely wrong."
mistral-medium-3.5,ru,ru_markdown_8000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",В контексте нет информации о программе «Школьное образование» Министерства просвещения на 2026 год.,,8000,31966,0,"The model claims no information is available, whereas the reference provides a specific funding amount."
mistral-medium-3.5,ru,ru_markdown_8000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,В контексте нет информации о Министерстве здравоохранения Кыргызской Республики.,,8000,31966,0,"The model did not provide the correct number (8) and claimed no information, which is incorrect."
mistral-medium-3.5,ru,ru_markdown_8000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Общегосударственные программы (263) — 164,663,857.2 тыс.сомов",,8000,31966,3,The model correctly identifies the program and provides the exact funding amount matching the reference.
mistral-medium-3.5,ru,ru_markdown_8000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,60,26,,8000,31966,0,"The model gave 26, but the correct number of ministries and agencies is 60, so the answer is incorrect."
mistral-medium-3.5,ru,ru_markdown_8000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом","1,127,306.9",,8000,31966,3,The model provides the exact numeric value matching the reference; unit omission is a minor formatting issue.
mistral-medium-3.5,ru,ru_markdown_8000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом",В контексте нет информации о программах Министерства просвещения Кыргызской Республики.,,8000,31966,0,"The model answer does not provide the required financing amount and states no information is available, which is incorrect."
mistral-medium-3.5,ru,ru_markdown_8000tok,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","128,507,508.4",,8000,31966,0,"The model's figure (128,507,508.4) does not match the reference total of approximately 593.0 billion som."
mistral-medium-3.5,ru,ru_markdown_8000tok,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",В контексте нет данных о финансировании Министерства здравоохранения или Министерства просвещения.,,8000,31966,0,"The model claims no data is available, which is incorrect compared to the reference that provides the funding figures."
mistral-medium-3.5,ru,ru_markdown_8000tok,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,Растет на 1.15%.,,8000,31966,0,"The model states the budget increases by 1.15%, contradicting the reference that it declines by 7.1%."
mistral-medium-3.5,ru,ru_markdown_8000tok,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"15,000.0",,8000,31966,0,"The model answer provides only an incorrect amount and no program name, missing the key fact from the reference."
mistral-medium-3.5,ru,ru_markdown_8000tok,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),%,,8000,31966,3,"Model answer correctly provides the most common unit of measurement, percentage, matching the reference."
mistral-medium-3.5,ru,ru_markdown_8000tok,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10 тыс. сом",В контексте нет информации о Министерстве транспорта и коммуникаций Кыргызской Республики.,,8000,31966,0,"The model answer does not provide the required financing amount and states no information is available, which is incorrect."
mistral-medium-3.5,ru,ru_markdown_8000tok,13,hard,filter,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,,Сколько министерств/ведомств имеют ровно одну бюджетную программу?,22,11,,8000,31966,2,The answer addresses the correct entity (the count of ministries/ agencies) but provides the wrong number (11 instead of 22).
mistral-medium-3.5,ru,ru_markdown_8000tok,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,"Для анализа роста финансирования более чем на 10% между 2026 и 2027 годами необходимо сравнить значения **funding_2026** и **funding_2027** для всех программ (уровень **program**).

### Критерии:
- **Рост > 10%** → `(funding_2027 - funding_2026) / funding_2026 > 0.10`
- Учитываем только строки с **level = ""program""**.

---

### Анализ программ:
1. **Жогорку Кенеш Кыргызской Республики (001)**:
   - 2026: 1,047,143.9 → 2027: 1,069,070.0
   - Рост: `(1,069,070.0 - 1,047,143.9) / 1,047,143.9 ≈ 0.021` (**2.1%**)

2. **Жогорку Кенеш Кыргызской Республики (113)**:
   - 2026: 80,163.0 → 2027: 80,163.0
   - Рост: **0%**

3. **Администрация Президента КР (122)**:
   - 2026: 669,719.2 → 2027: 683,113.6
   - Рост: `(683,113.6 - 669,719.2) / 669,719.2 ≈ 0.020` (**2.0%**)

4. **Архив Президента Кыргызской Республики (001)**:
   - 2026: 18,086.2 → 2027: 18,447.9
   - Рост: `(18,447.9 - 18,086.2) / 18,086.2 ≈ 0.020` (**2.0%**)

5. **Фонды Президента и Кабинета Министров Кыргызской Республики (142)**:
   - 2026: 2,030,000.0 → 2027: 2,030,000.0
   - Рост: **0%**

6. **Управление делами Президента Кыргызской Республики (152)**:
   - 2026: 2,837,368.8 → 2027: 2,571,414.9
   - Рост: **уменьшение** (-9.4%)

7. **Управление делами Президента Кыргызской Республики (153)**:
   - 2026: 805,338.5 → 2027: 819,431.4
   - Рост: `(819,431.4 - 805,338.5) / 805,338.5 ≈ 0.0175` (**1.75%**)

8. **Управление делами Президента Кыргызской Республики (154)**:
   - 2026: 116,882.7 → 2027: 119,819.9
   - Рост: `(119,819.9 - 116,882.7) / 116,882.7 ≈ 0.025` (**2.5%**)

9. **Управление делами Президента Кыргызской Республики (155)**:
   - 2026: 3,297,739.7 → 2027: 3,303,809.0
   - Рост: `(3,303,809.0 - 3,297,739.7) / 3,297,739.7 ≈ 0.0018` (**0.18%**)

10. **Верховный суд Кыргызской Республики (001",,8000,31966,0,The model answer does not provide the correct count of programs (9) and gives no correct answer to the question.
mistral-medium-3.5,ru,ru_markdown_8000tok,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",57,2,,8000,31966,2,"Model provided a numeric answer for the count, but the number (2) is incorrect compared to the correct value (57)."
mistral-medium-3.5,ru,ru_markdown_8000tok,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of 593,028,014.9)",Недостаточно информации для расчета доли. В контексте нет данных об общем бюджете всех программ на 2026 год.,,8000,31966,0,"The model claims insufficient information, but the reference provides a specific 56% share, so the answer is incorrect."
mistral-medium-3.5,ru,ru_markdown_8000tok,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4","Обеспечение полноты и своевременности поступлений налогов и сборов: 5,113,087.0",,8000,31966,0,"Model provided a different budget measure and amount, not the one with the highest funding per the reference."
mistral-medium-3.5,ru,ru_markdown_8000tok,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",В контексте нет информации о Министерстве чрезвычайных ситуаций Кыргызской Республики.,,8000,31966,0,"The model claims no information is available, which contradicts the reference answer containing the specific program and amount."
mistral-medium-3.5,ru,ru_markdown_8000tok,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 программ и 393 мер,В контексте указаны **104 бюджетные программы и бюджетные меры** (40 программ + 64 меры).,,8000,31966,0,The model gave incorrect numbers (40 programs and 64 measures) instead of the correct 168 programs and 393 measures.
mistral-medium-3.5,ru,ru_markdown_8000tok,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"1. **Реализация проектов государственных инвестиций (Министерство финансов Кыргызской Республики, программа 992)** – сокращение на **95,921.7** (2,418,048.5 → 2,322,126.8)
2. **Администрирование государственных доходов (Министерство финансов Кыргызской Республики, программа 254)** – сокращение на **1,135,042.7** (10,614,609.5 → 9,479,566.8)
3. **Общегосударственные программы (Министерство финансов Кыргызской Республики, программа 263)** – сокращение на **52,469,226.0** (164,663,857.2 → 112,194,631.2)",,8000,31966,2,Model lists two of the three correct programs (Администрирование государственных доходов and Общегосударственные программы) but incorrectly includes Реализация проектов государственных инвестиций instead of Государственная поддержка и развитие ирригации.
mistral-medium-3.5,ru,ru_structured_8000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом","42,380,106.4","<scratchpad>
Строка:
ministry_code | level | ministry | program | name | funding_2026 | funding_2027 | funding_2028 | indicator | unit
34 | program | Министерство просвещения Кыргызской Респ | 343 | Школьное образование | 42,380,106.4 | 43,462,341.1 | 44,571,272.0 | Охват детей средним общим образованием,  | %

Значение funding_2026: 42,380,106.4
</scratchpad>

42,380,106.4",8000,11633,3,Provides the correct numeric amount; unit omission is a minor formatting difference.
mistral-medium-3.5,ru,ru_structured_8000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,8,"<scratchpad>
Строки с level = ""program"" для Министерства здравоохранения Кыргызской Республики (ministry_code = 37):
1. Программа «Управление и администрирование» (program = 001)
2. Программа «Общественное здравоохранение» (program = 372)
3. Программа «Организация предоставления услуг здравоохранения» (program = 373)
4. Программа «Медицинское образование и управление человеческими ресурсами» (program = 374)
5. Программа «Предоставление услуг первично-медико-санитарной помощи» (program = 375)
6. Программа «Предоставление услуг медицинскими учреждениями на secondary и tertiary уровнях» (program = 376)
7. Программа «Обеспечение доступа к льготному гемодиализному лечению» (program = 377)
8. Программа «Реализация проектов государственных инвестиций» (program = 992)

Итого: 8 программ.
</scratchpad>

8",8000,7470,3,"The model correctly states the number of budget programs as 8, matching the reference answer."
mistral-medium-3.5,ru,ru_structured_8000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Общегосударственные программы (263) — 164,663,857.2 тыс. сомов","<scratchpad>
Сравниваем значения funding_2026 для всех программ (level = ""program""):
- 001: 321,933.8
- 372: 2,170,534.1
- 373: 6,305,318.8
- 374: 962,011.6
- 375: 11,104,430.6
- 376: 15,638,295.2
- 377: 2,530,800.0
- 992: 2,588,023.2
- 262: 46,670,347.3
- 263: 164,663,857.2
- 264: 118,757,161.3
- 265: 2,057,870.4

Максимальное значение: 164,663,857.2 (программа 263)
</scratchpad>

Общегосударственные программы (263) — 164,663,857.2 тыс. сомов",8000,16867,3,The model correctly identifies the program and exact funding amount matching the reference.
mistral-medium-3.5,ru,ru_structured_8000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,60,60,"<scratchpad>
Строки с уникальными ministry_code:
11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 64, 65, 68, 69, 70, 74, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88

Количество уникальных ministry_code: 60
</scratchpad>

60",8000,31764,3,"The model answer matches the reference answer exactly, providing the correct number of ministries and agencies."
mistral-medium-3.5,ru,ru_structured_8000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом","1,127,306.9","<scratchpad>
Строки по Жогорку Кенешу:
- Программа 001: 1,047,143.9
- Программа 113: 80,163.0

Сумма: 1,047,143.9 + 80,163.0 = 1,127,306.9
</scratchpad>

1,127,306.9",8000,4916,3,The model provides the exact numeric value matching the reference; unit omission is a minor formatting issue.
mistral-medium-3.5,ru,ru_structured_8000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом","56,424,894.1","<scratchpad>
Релевантные строки с типом ""program"" и министерством ""Министерство просвещения Кыргызской Республики"" для 2026 года:
1. Программа 001: Управление и администрирование - 1,962,869.4
2. Программа 342: Дошкольное образование и предшкольная подготовка - 8,891,657.5
3. Программа 343: Школьное образование - 42,380,106.4
4. Программа 344: Начальное и среднее профессиональное образование - 2,178,080.8
5. Программа 992: Реализация проектов государственных инвестиций - 1,012,180.0

Вычисления:
1,962,869.4 + 8,891,657.5 = 10,854,526.9
10,854,526.9 + 42,380,106.4 = 53,234,633.3
53,234,633.3 + 2,178,080.8 = 55,412,714.1
55,412,714.1 + 1,012,180.0 = 56,424,894.1
</scratchpad>

56,424,894.1",8000,2236,3,"The model provides the correct financing amount, matching the reference value within acceptable rounding, and the missing unit is a minor formatting difference."
