model,context,question_id,difficulty,category,question_en,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
gemma4,statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,The provided context does not contain information regarding the number of budget programs allocated to each ministry/agency.,2000,7969,0,"The model answer does not provide the required number (22) and claims lack of information, which is incorrect."
gemma4,statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"3 programs:
1. Program 43/001 (119,287.5 to 149,718.3)
2. Program 69/001 (funding decreased) - *Correction*: Program 80/001 (60,662.6 to 141,699.7)
3. Program 43/001, Program 80/001, and Program 64/001 (61,534.1 to 64,812.7 is not >10%).

Re-evaluating:
- Program 43/001: 119,287.5 to 149,718.3 (>10%)
- Program 80/001: 60,662.6 to 141,699.7 (>10%)",2000,7912,2,The model identified the correct type of entity (number of programs) but gave the wrong count (3 instead of the correct 9).
gemma4,statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,11,2000,7876,0,"The model gave 11, but the correct number is 57, so the answer is incorrect."
gemma4,statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain information regarding the total 2026 program budget or the specific amount allocated to the Ministry of Finance (General State Expenditures).,2000,7883,0,"The model claims no information is available, but the reference provides a specific share (56%)."
gemma4,statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",Государственный долг (38.0 billion som),2000,7899,0,"The model gave a different budget measure and amount, not the correct 'Повышение социальных выплат' with 76,517,019.4."
gemma4,statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the specific programs or funding amounts for the Ministry of Emergency Situations (Министерство чрезвычайных ситуаций Кыргызской Республики).,2000,7942,0,"The model answer does not provide the program or funding amount, contrary to the reference answer."
gemma4,statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,The provided context does not contain information regarding the total number of budget programs and budget measures.,2000,7849,0,"The model did not provide the required numbers and claimed lack of information, which is incorrect."
gemma4,statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"The provided context contains percentage changes but does not provide the absolute funding amounts; therefore, it is impossible to determine which programs show the largest absolute funding decrease.",2000,7934,0,"The model did not provide the required programs and claimed insufficient data, which is incorrect."
gemma4,markdown_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a Ministry of Education or a 'School Education' program.,2000,7938,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
gemma4,markdown_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain information regarding the Ministry of Health.,2000,7938,0,"The model did not provide the correct number (8) and claimed no information was available, which is incorrect."
gemma4,markdown_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",Реализация государственной политики и осуществление межотрас (3297739.7 тыс.сом),2000,7938,0,"The model gave a different program name and amount, not matching the reference answer."
gemma4,markdown_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,6,2000,7938,0,"The model answered 6, but the correct total is 60, so the answer is incorrect."
gemma4,markdown_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом","1,127,306.9 тыс.сом",2000,7938,3,Exact same numeric value and unit as reference; formatting difference is negligible.
gemma4,markdown_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",The provided context does not contain information regarding the Ministry of Education.,2000,7938,0,"The model answer does not provide the required funding figure and states lack of information, which is incorrect."
gemma4,markdown_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","11,211,131.1 тыс.сом",2000,7938,0,"The model's figure (11,211,131.1 тыс. сом) does not match the reference total budget of approximately 593,028,014.8 тыс. сом."
gemma4,markdown_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain information regarding the funding for the Ministry of Health or the Ministry of Education.,2000,7938,0,"The model claims no information is available, but the reference provides specific funding figures showing Education receives more."
gemma4,markdown_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"To determine the total program-level budget, only entries marked as ""program"" are summed:

**2026 Total:**
*   Жогорку Кенеш (Управление и администрирование): 1,047,143.9
*   Жогорку Кенеш (Обеспечение информацией...): 80,163.0
*   Администрация Президента (Администрация Президента КР): 669,719.2
*   Архив Президента (Управление и администрирование): 18,086.2
*   Фонды Президента и Кабинета Министров (Фонд Президента...): 2,030,000.0
*   Управление делами Президента (Обеспечение и координация...): 2,837,368.8
*   Управление делами Президента (Организация и координация...): 805,338.5
*   Управление делами Президента (Создание и развитие...): 116,882.7
*   Управление делами Президента (Реализация государственной политики...): 3,297,739.7
*   Верховный суд (Управление и администрирование): 406,745.3
*   Верховный суд (Эффективное продвижение...): 290,900.9
*   Верховный суд (Управление и общая координация...): 3,392.5
**Total 2026: 11,603,480.5 тыс.сом**

**2027 Total:**
*   Жогорку Кенеш (Управление и администрирование): 1,069,070.0
*   Жогорку Кенеш (Обеспечение информацией...): 80,163.0
*   Администрация Президента (Администрация Президента КР): 683,113.6
*   Архив Президента (Управление и администрирование): 18,447.9
*   Фонды Президента и Кабинета Министров (Фонд Президента...): 2,030,000.0
*   Управление делами Президента (Обеспечение и координация...): 2,571,414.9
*   Управление делами Президента (Организация и координация...): 819,431.4
*   Управление делами Президента (Создание и развитие...): 119,819.9
*   Управление делами Президента (Реализация государственной политики...): 3,303,809.0
*   Верховный суд (Управление и администрирование): 409,477.6
*   Верховный суд (Эффективное продвижение...): 296,718.9
*   Верховный суд (Управление и общая координация...): 3,664.5
**Total 2027: 11,405,130.7 тыс.сом**

**Result:**
The budget shrinks by 198,349.8 тыс.сом, which is a decrease of approximately 1.71%.",2000,7938,2,"Correctly states the budget shrinks, but gives the wrong percentage (1.71% vs reference 7.1%)."
gemma4,markdown_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program with the smallest non-zero funding in 2026 is ""Управление и общая координация развития сельскохозяйственной"" under the Верховный суд Кыргызской Республики, with 3392.5 тыс.сом.",2000,7938,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,markdown_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),"The provided context does not specify a single unit of measurement for performance indicators; indicators are described using various metrics such as ""Доля"" (Share), ""Количество"" (Quantity/Number), ""Отношение"" (Ratio), ""Процент"" (Percentage), and ""Уровень"" (Level).",2000,7938,0,"The model answer does not provide the correct unit (Процент) and states no single unit, which is incorrect."
gemma4,markdown_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",The provided context does not contain information regarding the Ministry of Transport and Communications.,2000,7938,0,The model answer fails to provide the required funding figure and incorrectly claims the information is unavailable.
gemma4,markdown_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"3 (Архив Президента Кыргызской Республики, Администрация Президента Кыргызской Респ, Фонды Президента и Кабинета Министров Кы)",2000,7938,0,"The model gave 3 instead of the correct 22, providing incorrect numbers and entities."
gemma4,markdown_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,0,2000,7938,0,"The model answered 0, which does not match the correct value of 9."
gemma4,markdown_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,The provided context does not contain any performance indicators measured in people (чел.).,2000,7938,0,"Model answer states there are none, contradicting the correct answer of 57 rows."
gemma4,markdown_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain information regarding the Ministry of Finance (General State Expenditures).,2000,7938,0,"The model answer does not provide the correct share (56%) and claims the information is missing, which is incorrect."
gemma4,markdown_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",Регистрация населения и актов гражданского состояния (2385292.1 тыс.сом),2000,7938,0,"The model gave a different budget measure and amount, not the one identified in the reference answer."
gemma4,markdown_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the Ministry of Emergency Situations.,2000,7938,0,"The model answer does not provide the program name or funding amount, contrary to the reference answer."
gemma4,markdown_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,"Total budget programs: 12
Total budget measures: 28",2000,7938,0,"The model gave incorrect numbers (12 programs, 28 measures) instead of the correct 168 programs and 393 measures."
gemma4,markdown_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"1. Обеспечение и координация деятельности по реализации единой (Управление делами Президента Кыргызской): decrease of 265,953.9 тыс.сом
2. No other programs show a funding decrease from 2026 to 2027.",2000,7938,0,The model answer lists a different program and fails to provide the three programs identified in the reference answer.
gemma4,statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a 'School Education' program or its funding.,8000,31934,0,"The model claims no information is available, but the reference provides a specific funding amount, making the answer incorrect."
gemma4,statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"The Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has 3 budget programs:
1. Управление и администрирование (code 001)
2. Программа «Общественное здравоохранение» (code 372)
3. Программа «Организация предоставления услуг здравоохранения» (code 373)",8000,31923,2,Identifies the Ministry of Health correctly but gives the wrong number of budget programs (3 instead of 8).
gemma4,statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",The program with the largest funding allocation in the 2026 budget is 'Школьное образование' under 'Министерство просвещения Кыргызской Республики' with 42.4 billion som.,8000,28496,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,"Based on the provided context, there are 88 distinct ministries and agencies represented (as indicated by the GRBS codes ranging from 11 to 88).",8000,29451,0,The model gave 88 instead of the correct total of 60 ministries and agencies.
gemma4,statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,8000,27738,3,"Model's 1.1 billion som correctly approximates the reference 1,127,306.9 тыс. сом (≈1.127 billion som)."
gemma4,statements_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом","The total 2026 allocation for 'Министерство просвещения Кыргызской Республики' is 56.4 billion som (or 56,424,894.1 thousand som).",8000,31889,3,"The model provides the same total funding value (56.4 billion som / 56,424,894.1 тыс. сом) as the reference, correctly answering the question."
gemma4,statements_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,8000,26064,0,"Model answer claims the information is missing, but reference provides the total budget value, so the answer is incorrect."
gemma4,statements_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения Кыргызской Республики) receives more funding, with 56,424,894.1 thousand som in 2026, compared to the Ministry of Health (Министерство здравоохранения Кыргызской Республики), which receives 41,621,347.3 thousand som in 2026.",8000,31856,3,The model correctly identifies the Ministry of Education as receiving more funding and provides the accurate amounts matching the reference.
gemma4,statements_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"The provided context does not contain the total program-level budget for the entire 2026 program-based budget, only the growth or shrinkage percentages and allocations for individual ministries and agencies.",8000,26225,0,The model answer does not provide the required fact that the budget declines by 7.1%.
gemma4,statements_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' (739.4 тыс. сом).,8000,28942,3,The model correctly identifies the program with the smallest non-zero funding and provides the exact amount of 739.4 тыс. сом.
gemma4,statements_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement is percent (%).,8000,31899,3,The model correctly identifies the unit as percent (%) matching the reference answer.
gemma4,statements_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом","16.9 billion som (or 16,881,928.1 thousand som).",8000,29453,3,"The model provides the same total funding value, correctly converting to both billion som and thousand som."
gemma4,statements_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"18 ministries/agencies have exactly one budget program:
1. Архив Президента Кыргызской Республики (code 13)
2. Министерство юстиции Кыргызской Республики (code 22)
3. Министерство энергетики Кыргызской Республики (code 55) - *Note: Context lists two programs (001 and 556), so this is excluded.*
4. Национальная академия наук Кыргызской Республики (code 80)
5. Верховный суд Кыргызской Республики (code 16)
6. Счетная палата Кыргызской Республики (code 17) - *Note: Context lists two programs (001 and 172), so this is excluded.*
7. Военная прокуратура Кыргызской Республики (code 20)
8. Национальное агентство по инвестициям при Президенте Кыргызской Республики (code 57)
9. Министерство чрезвычайных ситуаций Кыргызской Республики (code 45) - *Note: Context lists two programs (001 and 263), so this is excluded.*
10. Центр перевода Кабинета Министров Кыргызской Республики (code 87)
11. Министерство транспорта и коммуникаций Кыргызской Республики (code 43)
12. Генеральная прокуратура Кыргызской Республики (code 19)
13. Секретариат Национальной комиссии Кыргызской Республики по делам ЮНЕСКО (code 68)
14. Министерство финансов Кыргызской Республики (code 25)
15. Министерство науки, высшего образования и инноваций Кыргызской Республики (code 31)
16. Государственное учреждение «Национальная академия «Манас» (code 88)
17. Академия государственного управления при Президенте Кыргызской Республики (code 39)
18. Государственное агентство по защите персональных данных при Кабинете Министров Кыргызской Республики (code 58)
19. Государственное учреждение «Фонд зеленой энергетики» при Кабинете Министров Кыргызской Республики (code 54)
20. Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики (code 42)
21. Телерадиовещательные компании Кыргызской Республики (code 85)
22. Жогорку Кенеш Кыргызской Республики (code 11)
23. Министерство цифрового развития и инновационных технологий Кыргызской Республики (code 69)

Corrected count based on provided context: 20 ministries/agencies have exactly one budget program.",8000,31839,2,The answer addresses the correct entity (the count of ministries/agencies) but provides an incorrect number (20/18) instead of the correct value 22.
gemma4,statements_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"Based on the provided context, 3 programs show funding growth of more than 10% between 2026 and 2027:

1. Program 43/001 'Управление и администрирование' (119,287.5 to 149,718.3)
2. Program 80/001 'Управление и администрирование' (60,662.6 to 141,699.7)
3. Program 41/413 'Государственная поддержка и развитие растениеводства' (479,788.0 to 643,477.5)",8000,26917,2,The answer addresses the correct entity (number of programs) but provides an incorrect count (3 instead of the correct 9).
gemma4,statements_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,16,8000,31901,0,"The model gave 16, but the correct number is 57, so the answer is incorrect."
gemma4,statements_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)","The provided context does not contain the total 2026 program budget, so the share cannot be calculated.",8000,29800,0,"The model claims the share cannot be calculated, contradicting the reference which provides the 56% share."
gemma4,statements_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",The budget measure with the largest 2026 funding is 'Повышение социальных выплат' with 76.5 billion som.,8000,29348,2,"Correct measure identified, but the funding amount is mis-stated (unit/scale mismatch)."
gemma4,statements_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","The program 'Управление и администрирование' (code 001) receives the most 2026 funding with 184,945.8 thousand som.",8000,31609,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,statements_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,The provided context does not contain information regarding the total number of budget programs and budget measures in the 2026 program-based budget.,8000,29254,0,"The model answer does not provide the required numbers and claims lack of information, which is incorrect."
gemma4,statements_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"The provided context does not contain the absolute funding amounts for all programs, only the percentage changes and specific funding for a few programs. Therefore, it is impossible to determine the top 3 largest absolute funding decreases.",8000,31914,0,"The model answer does not provide the required programs and incorrectly claims insufficient data, contrary to the reference answer."
gemma4,markdown_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a Ministry of Education or a 'School Education' program.,8000,31863,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
gemma4,markdown_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain information regarding the Ministry of Health.,8000,31863,0,"The model did not provide the correct number (8) and claimed no information was available, which is incorrect."
gemma4,markdown_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","The program with the largest funding allocation in the 2026 budget is ""Общегосударственные программы"" under the Министерство финансов Кыргызской Республ, with 164,663,857.2 тыс.сом.",8000,31863,3,The model correctly identifies the program and exact funding amount as in the reference.
gemma4,markdown_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,13,8000,31863,0,"The model answer gives 13, which does not match the correct total of 60 ministries and agencies."
gemma4,markdown_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом","1,127,306.9 тыс.сом",8000,31863,3,Exact same numeric value and unit as reference; formatting difference is negligible.
gemma4,markdown_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",The provided context does not contain information regarding the Ministry of Education.,8000,31863,0,"The model answer does not provide the required funding figure and states lack of information, which is incorrect."
gemma4,markdown_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","284,444,143.1 тыс.сом",8000,31863,0,"The model's figure (284,444,143.1 тыс. сом) does not match the reference total of about 593,028,014.8 тыс. сом."
gemma4,markdown_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain information regarding the funding for the Ministry of Health or the Ministry of Education.,8000,31863,0,"The model claims no information is available, but the reference provides specific funding figures showing Education receives more."
gemma4,markdown_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"The provided context does not contain the total program-level budget for 2026 and 2027, only individual line items. Therefore, there is not enough information to determine if the total budget grows or shrinks or by what percentage.",8000,31863,0,"The model claims insufficient information, whereas the reference provides a specific answer (declines by 7.1%)."
gemma4,markdown_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program with the smallest non-zero funding in 2026 is ""Управление и общая координация развития сельскохозяйственной"" under the Верховный суд Кыргызской Республики, with 3392.5 тыс.сом.",8000,31863,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,markdown_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The provided context does not contain information regarding the most commonly used unit of measurement for performance indicators; it only lists the names of the indicators.,8000,31863,0,"The model answer does not provide the correct unit (Процент) and claims lack of information, which is incorrect."
gemma4,markdown_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",The provided context does not contain information regarding the Ministry of Transport and Communications.,8000,31863,0,The model answer fails to provide the required funding figure and incorrectly claims the information is unavailable.
gemma4,markdown_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,22,"6 (Архив Президента Кыргызской Республики, Фонды Президента и Кабинета Министров Кы, Омбудсмен (Акыйкатчы) Кыргызской Респуб, Счетная палата Кыргызской Республики, Центральная комиссия по выборам и провед, Военная прокуратура Кыргызской Республики)",8000,31863,2,The answer addresses the correct type of entity (a count) but provides the wrong number (6 instead of 22).
gemma4,markdown_8000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,0,8000,31863,0,"The model answered 0, which does not match the correct value of 9."
gemma4,markdown_8000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,57,0,8000,31863,0,"The model answered 0, which does not match the correct value of 57."
gemma4,markdown_8000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of 593,028,014.9)","The provided context does not contain the total 2026 program budget for all ministries, only the specific allocations for the listed entities. Therefore, the share cannot be calculated.",8000,31863,0,"The model claims the share cannot be calculated, but the reference provides a specific share of 56%."
gemma4,markdown_8000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4","Стабилизационный фонд КР (50,000,000.0 тыс.сом)",8000,31863,0,"The model gave a different budget measure and amount, not the correct 'Повышение социальных выплат' with 76,517,019.4"
gemma4,markdown_8000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the Ministry of Emergency Situations.,8000,31863,0,"The model answer does not provide the program name or funding amount, contrary to the reference answer."
gemma4,markdown_8000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 программ и 393 мер,"Total budget programs: 24
Total budget measures: 78",8000,31863,0,"The model gave incorrect numbers for both programs and measures, not matching the reference answer."
gemma4,markdown_8000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (Министерство Финансов); 2) Государственная поддержка и развитие ирригации (Минводресурсов); 3) Администрирование государственных доходов (Министерство финансов),"1. Общегосударственные программы (Министерство финансов Кыргызской Республ): decrease of 52,469,226.0 тыс.сом
2. Администрирование государственных доходов (Министерство финансов Кыргызской Республ): decrease of 1,134,942.7 тыс.сом
3. Обеспечение и координация деятельности по реализации единой (Управление делами Президента Кыргызской): decrease of 265,953.9 тыс.сом",8000,31863,2,Model correctly lists two of the three programs but replaces the second-ranked program with an incorrect one.
gemma4,statements_16000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a 'School Education' program or its funding.,16000,32265,0,"The model claims no information is available, but the reference provides a specific funding amount, making the answer incorrect."
