model,context,condition,question_id,difficulty,category,question,reference_answer,model_answer,raw_model_answer,context_chars,n_statements,judge_score,judge_reasoning
qwen3.5,ru_statements_top500,top500,14,hard,filter,Сколько программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами?,9,5 программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами.,"<scratchpad>
1.  **Национальная академия наук Кыргызской Республики**, программа «Управление и администрирование» (код программы 001):
    *   2026: 60,662.6 тыс. сом
    *   2027: 141,699.7 тыс. сом
    *   Рост: (141,699.7 - 60,662.6) / 60,662.6 ≈ 133.6% (> 10%) — **Да**

2.  **Министерство транспорта и коммуникаций Кыргызской Республики**, программа «Управление и администрирование» (код программы 001):
    *   2026: 119,287.5 тыс. сом
    *   2027: 149,718.3 тыс. сом
    *   Рост: (149,718.3 - 119,287.5) / 119,287.5 ≈ 25.5% (> 10%) — **Да**

3.  **Министерство транспорта и коммуникаций Кыргызской Республики**, программа «Реабилитация международных транспортных коридоров» (код программы 433):
    *   2026: 1,410,765.1 тыс. сом
    *   2027: 1,957,135.5 тыс. сом
    *   Рост: (1,957,135.5 - 1,410,765.1) / 1,410,765.1 ≈ 38.7% (> 10%) — **Да**

4.  **Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)**, программа «Государственные программы, мероприятия и выплаты» (код программы 264):
    *   2026: 118,757,161.3 тыс. сом
    *   2027: 131,802,316.2 тыс. сом
    *   Рост: (131,802,316.2 - 118,757,161.3) / 118,757,161.3 ≈ 10.98% (> 10%) — **Да**

5.  **Министерство здравоохранения Кыргызской Республики**, программа «Программа «Организация предоставления услуг здравоохранения»» (код программы 373):
    *   2026: 6,305,318.8 тыс. сом
    *   2027: 7,072,644.7 тыс. сом
    *   Рост: (7,072,644.7 - 6,305,318.8) / 6,305,318.8 ≈ 12.17% (> 10%) — **Да**

Остальные программы имеют рост менее 10%, снижение или отсутствие изменений.
</scratchpad>
5 программ демонстрируют рост финансирования более чем на 10% между 2026 и 2027 годами.",162004,500,2,The model identified the correct entity (number of programs) but gave the wrong value (5 instead of 9).
qwen3.5,ru_statements_top500,top500,15,hard,indicator,"Сколько строк в бюджете имеют индикатор результативности, измеряемый в людях (чел.)?",57,"37 строк имеют индикатор результативности, измеряемый в людях (чел.).","<scratchpad>
Подсчитываю все строки с единицей измерения ""чел."":

1. «Количество лиц», единица измерения: чел.
2. «Количество пациентов с терминальной стадией хронической почечной недостаточности, получающих бюджетный гемодиализ в организациях здравоохранения», единица измерения: чел.
3. «Количество детей», единица измерения: чел.
4. «Количество протестированных», единица измерения: чел.
5. «Численность возвращенных детей», единица измерения: чел.
6. «Количество зарегистрированных с сахарным диабетом», единица измерения: чел.
7. «Количество получающих пособия», единица измерения: чел.
8. «Число пролеченных больных», единица измерения: чел.
9. «Число пролеченных больных», единица измерения: чел. (повтор)
10. «Количество обслуживаемых», единица измерения: чел.
11. «Количество выпускников медколледжей, подготовленных за счет республиканского бюджета», единица измерения: чел.
12. «Количество выпускников КГМА подготовленных за счет республиканского бюджета на додипломном уровне», единица измерения: чел.
13. «Количество слушателей», единица измерения: чел.
14. «Количество ЛОВЗ охваченых реабилитацией», единица измерения: чел.
15. «Количество безработных, трудоусттроенных в результате посещения Ярмарки вакансий», единица измерения: чел.
16. «Количество ЛОВЗ охваченых услугами в рамках госсоцзаказа», единица измерения: чел.
17. «Количество привлеченных государственных служащих на повышении квалификации», единица измерения: чел.
18. «Годовой объем обучающихся студентов», единица измерения: чел.
19. «Количество специалистов, прошедших переподготовку и повышение квалификаций за счет республиканского бюджета КГМИПиПК», единица измерения: чел.
20. «Количество пациентов получающих льготное гемодиализное лечение», единица измерения: чел.
21. «Количество лиц, получивших денежные компенсации, взамен льгот», единица измерения: чел.
22. «Численность сотрудников, охваченных обучением не менее 100 сотрудников по системе Министерства», единица измерения: чел.
23. «Количество пациентов, получивших реабилитационную помощь», единица измерения: чел.
24. «Количество выпускников КГМИПиПК, подготовленных за счет республиканского бюджета на последипломном уровне», единица измерения: чел.
25. «Количество ветеранов ВОВ, получивших ежегодное дополнительное денежное пособие к 9 маю», единица измерения: чел.
26. «Количество ветеранов ВОВ, получивших ежемесячную пожизненную стипендию», единица измерения: чел.
27. «Охват беременных женщин, вставших на учет по поводу беременности для профилактических осмотров у стоматолога», единица измерения: чел.
28. «Количество пациентов, получающих дорогостоящую и высокотехнологичной помощи в рамках программы ФВТ», единица измерения: чел.
29. «Исправление и переобучение граждан, совершивших правонарушение, а также социальное интеграция осужденных лиц», единица измерения: чел.
30. «Исправление и переобучение граждан, совершивших правонарушение, а также социальное интеграция осужденных лиц», единица измерения: чел. (повтор)
31. «Занятость инвалидов по зрению и слуху работой на учебно-производственных предприятиях Кыргызского общества слепых и глухих всего/ЛОВЗ», единица измерения: чел.
32. «Количество выпускников КГМА подготовленных за счет республиканского бюджета на последипломном уровне», единица измерения: чел.
33. «Количество семей и близких родственников, получивших компенсацию расходов на проезд к месту захоронения и обратно», единица измерения: чел.
34. «Численность детей, охваченных мониторингом об условиях жизни и воспитании детей в семьях граждан государств-участников СНГ», единица измерения: чел.
35. «Численность размещенных детей в приемных семьях», единица измерения: чел.
36. «Количество посетителей цифрового зала», единица измерения: чел.
37. «Количество прошедщих обучение субъектов системы противодействия финансированию террористической деятельности и легализации (отмыванию) преступных доходов КР», единица измерения: чел.

Итого: 37 строк
</scratchpad>

37 строк имеют индикатор результативности, измеряемый в людях (чел.).",107972,500,2,The model identified the correct type of information (number of rows) but gave an incorrect value (37 instead of 57).
qwen3.5,ru_statements_top500,top500,16,hard,aggregation,Какова доля финансирования Министерства финансов (Общегосударственные расходы) от общего бюджета программ на 2026 год?,"56% (332,149,236.2 out of 593,028,014.9)","Финансирование Министерства финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты) на 2026 год: 332,149,236.1 тыс. сом.

Общий бюджет программ всех ведомств на 2026 год: информация в контексте отсутствует.

Доля финансирования: невозможно рассчитать на основе предоставленного контекста (недостаточно информации об общей сумме программного бюджета).","<scratchpad>
Релевантные строки из контекста:

1. Министерство финансов (Общегосударственные программы, мероприятия и выплаты), код 26:
   ""Итого по ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» (код 26): 332,149,236.1 тыс. сом в 2026 году""

2. Общий бюджет программ на 2026 год:
   В предоставленном контексте отсутствует информация об общей сумме программного бюджета всех ведомств Кыргызской Республики на 2026 год.

Вычисления:
- Финансирование Министерства финансов (Общегосударственные расходы) 2026: 332,149,236.1 тыс. сом
- Общий бюджет программ 2026: информация отсутствует в контексте
- Доля = (332,149,236.1 / Общий бюджет программ) × 100% — невозможно вычислить
</scratchpad>

Финансирование Министерства финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты) на 2026 год: 332,149,236.1 тыс. сом.

Общий бюджет программ всех ведомств на 2026 год: информация в контексте отсутствует.

Доля финансирования: невозможно рассчитать на основе предоставленного контекста (недостаточно информации об общей сумме программного бюджета).",156414,500,0,"The model answer fails to provide the required percentage (56%) and claims insufficient information, which is incorrect."
qwen3.5,ru_statements_top500,top500,17,hard,lookup,Какая бюджетная мера (measure) имеет наибольшее финансирование в 2026 году?,"Повышение социальных выплат - 76,517,019.4","Бюджетная мера «Повышение социальных выплат» имеет наибольшее финансирование в 2026 году — 76,517,019.4 тыс. сом.","<scratchpad>
1.  Найдена строка: бюджетная мера «Повышение социальных выплат» (код меры 03) получает 76,517,019.4 тыс. сом в 2026 году.
2.  Найдена строка: бюджетная мера «Стабилизационный фонд КР» (код меры 39) получает 50,000,000.0 тыс. сом в 2026 году.
3.  Найдена строка: бюджетная мера «Государственный долг» (код меры 08) получает 37,999,512.5 тыс. сом в 2026 году.
4.  Найдена строка: бюджетная мера «Обеспечение базовой части пенсии» (код меры 01) получает 33,574,380.8 тыс. сом в 2026 году.
5.  Найдена строка: бюджетная мера «Капитальные вложения» (код меры 01) получает 27,680,000.0 тыс. сом в 2026 году.
6.  Сравнение значений финансирования в 2026 году: 76,517,019.4 > 50,000,000.0 > 37,999,512.5 > 33,574,380.8 > 27,680,000.0.
7.  Максимальное значение: 76,517,019.4 тыс. сом.
</scratchpad>
Бюджетная мера «Повышение социальных выплат» имеет наибольшее финансирование в 2026 году — 76,517,019.4 тыс. сом.",176249,500,3,The model correctly identifies the measure and provides the exact funding amount matching the reference.
qwen3.5,ru_statements_top500,top500,18,hard,comparison,Какая программа Министерства чрезвычайных ситуаций получает наибольшее финансирование в 2026 году?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом","Программа «Управление материальными ценностями государственного и мобилизационного резерва» (код 455) — 4,522,247.8 тыс. сом. Это больше финансирования следующей по объему программы «Предупреждение и ликвидация чрезвычайных ситуаций» (3,803,591.2 тыс. сом) на 718,656.6 тыс. сом.","<scratchpad>
1.  Поиск всех программ Министерства чрезвычайных ситуаций (код 45) на 2026 год в контексте:
    *   Программа «Общегосударственные программы» (код 263): 0 тыс. сом.
    *   Программа «Предупреждение и ликвидация чрезвычайных ситуаций» (код 453): 3,803,591.2 тыс. сом.
    *   Программа «Подготовка органов самоуправления, сил Гражданской защиты и населения к действиям в чрезвычайных ситуациях» (код 454): 63,032.6 тыс. сом.
    *   Программа «Управление и администрирование» (код 001): 184,945.8 тыс. сом.
    *   Программа «Прогнозирование опасных природных процессов и явлений» (код 452): 691,230.1 тыс. сом.
    *   Программа «Управление, обеспечение сохранение и развитие лесных ресурсов» (код 456): 1,019,758.6 тыс. сом.
    *   Программа «Управление материальными ценностями государственного и мобилизационного резерва» (код 455): 4,522,247.8 тыс. сом.

2.  Сравнение значений финансирования в 2026 году:
    *   Максимальное значение: 4,522,247.8 тыс. сом (Программа 455).
    *   Второе по величине значение: 3,803,591.2 тыс. сом (Программа 453).

3.  Вычисление разницы между наибольшим и вторым по величине финансированием:
    *   4,522,247.8 - 3,803,591.2 = 718,656.6 тыс. сом.

4.  Вывод: Программа «Управление материальными ценностями государственного и мобилизационного резерва» получает наибольшее финансирование.
</scratchpad>
Программа «Управление материальными ценностями государственного и мобилизационного резерва» (код 455) — 4,522,247.8 тыс. сом. Это больше финансирования следующей по объему программы «Предупреждение и ликвидация чрезвычайных ситуаций» (3,803,591.2 тыс. сом) на 718,656.6 тыс. сом.",158100,500,3,The model correctly identifies the program and provides the exact funding amount matching the reference.
qwen3.5,ru_statements_top500,top500,19,hard,multi-step,Сколько всего бюджетных программ и бюджетных мер содержится в бюджете 2026 года на программной основе?,168 программ и 393 мер,"В предоставленном контексте отсутствует информация об общем количестве бюджетных программ и бюджетных мер, содержащихся в программном бюджете Кыргызской Республики на 2026 год. Текст содержит перечень конкретных ведомств, программ, мер и их финансирование, но не включает сводные данные о общем количестве единиц.","<scratchpad>
1.  **Поиск общей сводной информации:**
    *   Сканирование текста на наличие фраз типа ""всего программ"", ""всего мер"", ""общее количество"", ""итого по бюджету"".
    *   Результат: В предоставленном контексте отсутствуют строки, указывающие на общее количество бюджетных программ и мер в бюджете 2026 года. Текст представляет собой перечень конкретных статей расходов, ведомств, программ и мер с их финансированием.

2.  **Анализ структуры данных в контексте:**
    *   Контекст содержит строки вида: ""По ведомству «...», в программе «...», бюджетная мера «...» (код меры ...) получает ... тыс. сом в 2026 году"".
    *   Контекст содержит строки вида: ""Министерство/ведомство «...» (код ...) включено в программный бюджет на 2026 год"".
    *   Контекст содержит строки с показателями результативности.
    *   Примеры упомянутых кодов программ: 262, 482, 852, 522, 743, 315, 229, 592, 001, 263, 432, 433, 512.
    *   Примеры упомянутых кодов мер: 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 27, 34, 37, 39, 45, 46, 50, 54, 58, 59, 66, 67, 69, 71, 72, 76, 79, 93.

3.  **Оценка возможности подсчета:**
    *   Подсчет уникальных программ и мер, упомянутых в тексте, даст количество *в выборке контекста*, а не общее количество *в бюджете* (Приложение 14), так как текст не утверждает, что является полным перечнем всех статей.
    *   Отсутствует итоговая строка или справка о количестве программ и мер.

4.  **Вывод:**
    *   В предоставленном контексте недостаточно информации для ответа на вопрос об общем количестве бюджетных программ и мер в бюджете 2026 года.
</scratchpad>

В предоставленном контексте отсутствует информация об общем количестве бюджетных программ и бюджетных мер, содержащихся в программном бюджете Кыргызской Республики на 2026 год. Текст содержит перечень конкретных ведомств, программ, мер и их финансирование, но не включает сводные данные о общем количестве единиц.",158257,500,0,"The model claims no information is available, whereas the reference provides the exact numbers (168 programs and 393 measures)."
qwen3.5,ru_statements_top500,top500,20,hard,multi-step,Какие программы демонстрируют наибольшее абсолютное сокращение финансирования между 2026 и 2027 годами? Назовите топ-3.,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)","1. Программа «Общегосударственные программы» (код 263) ведомства «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)»: сокращение на 52,469,226.0 тыс. сом (с 164,663,857.2 до 112,194,631.2 тыс. сом).
2. Программа «Администрирование государственных доходов» (код 254) ведомства «Министерство финансов Кыргызской Республики»: сокращение на 1,135,042.7 тыс. сом (с 10,614,609.5 до 9,479,566.8 тыс. сом).
3. Программа «Планирование, обеспечение, по экономическому, социальному прогнозированию и инвестиций внешних связей в сфере развития сельского хозяйства, также формирования и мониторинга финансовых ресурсов, бухгалтерских учетов, отчетностейи контроля» (код 167) ведомства «Верховный суд Кыргызской Республики»: сокращение на 734,267.1 тыс. сом (с 3,787,470.5 до 3,053,203.4 тыс. сом).","<scratchpad>
1. Поиск программ с сокращением финансирования (2026 > 2027):
   - Ведомство: «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», Программа: «Общегосударственные программы» (код 263).
     2026: 164,663,857.2 тыс. сом; 2027: 112,194,631.2 тыс. сом.
     Сокращение: 164,663,857.2 - 112,194,631.2 = 52,469,226.0 тыс. сом.

   - Ведомство: «Министерство финансов Кыргызской Республики», Программа: «Администрирование государственных доходов» (код 254).
     2026: 10,614,609.5 тыс. сом; 2027: 9,479,566.8 тыс. сом.
     Сокращение: 10,614,609.5 - 9,479,566.8 = 1,135,042.7 тыс. сом.

   - Ведомство: «Верховный суд Кыргызской Республики», Программа: «Планирование, обеспечение, по экономическому, социальному прогнозированию и инвестиций внешних связей в сфере развития сельского хозяйства, также формирования и мониторинга финансовых ресурсов, бухгалтерских учетов, отчетностейи контроля» (код 167).
     2026: 3,787,470.5 тыс. сом; 2027: 3,053,203.4 тыс. сом.
     Сокращение: 3,787,470.5 - 3,053,203.4 = 734,267.1 тыс. сом.

   - Ведомство: «Телерадиовещательные компании Кыргызской Республики», Программа: «Координирование, создание программ ТВ и РВ» (код 852).
     2026: 1,244,130.4 тыс. сом; 2027: 798,566.5 тыс. сом.
     Сокращение: 1,244,130.4 - 798,566.5 = 445,563.9 тыс. сом.

   - Ведомство: «Государственная служба испонения наказаний при при Кабинете Министров Кыргызской Республики», Программа: «Планирование, управление, администрирование и содержание осужденных и заключенных по стражу» (код 482).
     2026: 2,724,111.8 тыс. сом; 2027: 2,445,747.7 тыс. сом.
     Сокращение: 2,724,111.8 - 2,445,747.7 = 278,364.1 тыс. сом.

   - Ведомство: «Министерство цифрового развития и инновационных технологий Кыргызской Республики», Программа: «Управление и администрирование» (код 001).
     2026: 487,435.1 тыс. сом; 2027: 188,447.3 тыс. сом.
     Сокращение: 487,435.1 - 188,447.3 = 298,987.8 тыс. сом.

   - Ведомство: «Управление делами Президента Кыргызской Республики», Программа: «Обеспечение и координация деятельности по реализации единой государственной политики» (код 152).
     2026: 2,837,368.8 тыс. сом; 2027: 2,571,414.9 тыс. сом.
     Сокращение: 2,837,368.8 - 2,571,414.9 = 265,953.9 тыс. сом.

2. Ранжирование по абсолютному сокращению (тыс. сом):
   1. 52,469,226.0 («Общегосударственные программы», Минфин (Общегосударственные программы))
   2. 1,135,042.7 («Администрирование государственных доходов», Минфин)
   3. 734,267.1 («Планирование, обеспечение...», Верховный суд)
   4. 445,563.9 («Координирование, создание программ ТВ и РВ», Телерадиокомпании)
   ...

3. Топ-3 программы определены.
</scratchpad>

1. Программа «Общегосударственные программы» (код 263) ведомства «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)»: сокращение на 52,469,226.0 тыс. сом (с 164,663,857.2 до 112,194,631.2 тыс. сом).
2. Программа «Администрирование государственных доходов» (код 254) ведомства «Министерство финансов Кыргызской Республики»: сокращение на 1,135,042.7 тыс. сом (с 10,614,609.5 до 9,479,566.8 тыс. сом).
3. Программа «Планирование, обеспечение, по экономическому, социальному прогнозированию и инвестиций внешних связей в сфере развития сельского хозяйства, также формирования и мониторинга финансовых ресурсов, бухгалтерских учетов, отчетностейи контроля» (код 167) ведомства «Верховный суд Кыргызской Республики»: сокращение на 734,267.1 тыс. сом (с 3,787,470.5 до 3,053,203.4 тыс. сом).",168021,500,1,Only the first program matches the reference; the other two listed programs are incorrect.
qwen3.5,ru_statements_all,all,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом","42,380,106.4 тыс. сом.","<scratchpad>
1. Найдена строка: ""- По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Школьное образование» (код программы 343) получает 42,380,106.4 тыс. сом в 2026 году, 43,462,341.1 тыс. сом в 2027 году, 44,571,272.0 тыс. сом в 2028 году.""
2. Ведомство: Министерство просвещения Кыргызской Республики.
3. Программа: Школьное образование.
4. Год: 2026.
5. Значение: 42,380,106.4 тыс. сом.
6. Вычисления не требуются, значение указано напрямую.
</scratchpad>
42,380,106.4 тыс. сом.",403074,1424,3,The model answer exactly matches the reference value for the funding amount.
qwen3.5,ru_statements_all,all,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,7 бюджетных программ.,"<scratchpad>
1. Найдены строки контекста, относящиеся к Министерству здравоохранения Кыргызской Республики (код 37) и содержащие слово ""программа"":
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Общественное здравоохранение»» (код программы 372)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Организация предоставления услуг здравоохранения»» (код программы 373)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»» (код программы 374)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Управление и администрирование» (код программы 001)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Предоставление услуг первично-медико санитарной помощи» (код программы 375)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Предоставление услуг медицинскими учреждениями на стационарном уровне» (код программы 376)...""
   - ""По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Обеспечение доступа к льготному гемодиализному лечению» (код программы 377)...""

2. Перечень уникальных кодов программ:
   - 001 (Управление и администрирование)
   - 372 (Общественное здравоохранение)
   - 373 (Организация предоставления услуг здравоохранения)
   - 374 (Медицинское образование и управление человеческими ресурсами в здравоохранении)
   - 375 (Предоставление услуг первично-медико санитарной помощи)
   - 376 (Предоставление услуг медицинскими учреждениями на стационарном уровне)
   - 377 (Обеспечение доступа к льготному гемодиализному лечению)

3. Подсчет количества программ:
   1 + 1 + 1 + 1 + 1 + 1 + 1 = 7 программ.
</scratchpad>
7 бюджетных программ.",403074,1424,2,The model identified the correct entity (budgetary programs of the Ministry of Health) but gave the wrong number (7 instead of the correct 8).
qwen3.5,ru_statements_all,all,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Программа: «Общегосударственные программы» (код программы 263).
Ведомство: Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты).
Финансирование в 2026 году: 164,663,857.2 тыс. сом.","<scratchpad>
1.  Поиск строк с указанием финансирования программ на 2026 год в контексте.
2.  Выделение ключевых программ с наибольшими суммами:
    *   Программа «Общегосударственные программы» (код программы 263), ведомство «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)»: 164,663,857.2 тыс. сом.
    *   Программа «Государственные программы, мероприятия и выплаты» (код программы 264), ведомство «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)»: 118,757,161.3 тыс. сом.
    *   Программа «Пенсионное обеспечение и компенсации за счет бюджетных средств» (код программы 262), ведомство «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)»: 46,670,347.3 тыс. сом.
    *   Программа «Школьное образование» (код программы 343), ведомство «Министерство просвещения Кыргызской Республики»: 42,380,106.4 тыс. сом.
    *   Программа «Предоставление услуг медицинскими учреждениями на стационарном уровне» (код программы 376), ведомство «Министерство здравоохранения Кыргызской Республики»: 15,638,295.2 тыс. сом.
3.  Сравнение значений:
    *   164,663,857.2 > 118,757,161.3 > 46,670,347.3 > 42,380,106.4 > 15,638,295.2.
4.  Определение максимальной суммы: 164,663,857.2 тыс. сом.
5.  Соответствующая программа: «Общегосударственные программы» (код программы 263).
</scratchpad>
Программа: «Общегосударственные программы» (код программы 263).
Ведомство: Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты).
Финансирование в 2026 году: 164,663,857.2 тыс. сом.",403074,1424,3,The model correctly identifies the program and exact funding amount matching the reference.
