model,context,avg_score,easy_avg,medium_avg,hard_avg,strict_accuracy,lenient_accuracy,n_evaluated
qwen3.5,en_markdown_2000tok,0.35,1.0,0.29,0.0,0.05,0.15,20
qwen3.5,en_markdown_8000tok,0.95,1.6,0.29,1.12,0.15,0.4,20
qwen3.5,en_markdown_full,2.18,2.75,2.17,1.86,0.471,0.824,17
qwen3.5,en_statements_16000tok,1.85,2.2,1.71,1.75,0.45,0.7,20
qwen3.5,en_statements_2000tok,0.55,1.0,0.86,0.0,0.15,0.2,20
qwen3.5,en_statements_8000tok,1.35,1.8,1.71,0.75,0.35,0.45,20
qwen3.5,en_statements_full,1.79,2.2,1.71,1.57,0.474,0.632,19
qwen3.5,en_structured_16000tok,0.63,0.4,0.0,1.25,0.105,0.263,19
qwen3.5,en_structured_2000tok,0.45,0.4,0.14,0.75,0.0,0.2,20
qwen3.5,en_structured_8000tok,0.63,0.6,0.0,1.12,0.105,0.263,19
qwen3.5,en_structured_full,0.79,0.4,0.43,1.43,0.158,0.316,19
qwen3.5,ru_markdown_16000tok,1.8,2.6,1.71,1.38,0.35,0.7,20
qwen3.5,ru_markdown_2000tok,0.45,0.6,0.29,0.5,0.05,0.2,20
qwen3.5,ru_markdown_8000tok,1.1,1.6,0.29,1.5,0.15,0.45,20
qwen3.5,ru_markdown_full,2.28,2.6,2.17,2.14,0.444,0.889,18
qwen3.5,ru_statements_16000tok,1.74,2.8,1.5,1.25,0.474,0.632,19
qwen3.5,ru_statements_2000tok,1.4,2.4,1.57,0.62,0.3,0.55,20
qwen3.5,ru_statements_8000tok,1.42,2.2,1.5,0.88,0.368,0.474,19
qwen3.5,ru_statements_full,1.95,2.8,1.71,1.62,0.5,0.7,20
qwen3.5,ru_structured_16000tok,1.95,2.4,1.43,2.14,0.368,0.789,19
qwen3.5,ru_structured_2000tok,1.05,1.6,0.86,0.88,0.2,0.4,20
qwen3.5,ru_structured_8000tok,1.74,2.75,1.14,1.75,0.421,0.632,19
qwen3.5,ru_structured_full,1.89,2.5,1.43,2.0,0.368,0.737,19
